Entity Name,Entity ID,Security Name,Security ID,Does the company meet your screening criteria?,ESG Risk Score
"Acadia Healthcare Co., Inc.",1034137982,,1034137982,Yes,29.45
"ACADIA Pharmaceuticals, Inc.",1008561959,,1008561959,Yes,33.04
Acadia Realty Trust,1008211437,,1008211437,Yes,14.98
"AcBel Polytech, Inc.",1016814373,,1016814373,Yes,19.96
ACC Ltd.,1008752048,,1008752048,Yes,29.35
"Accel Entertainment, Inc.",2007466938,,2007466938,Yes,19.53
"Accelink Technologies Co., Ltd.",2001601833,,2001601833,Yes,21.39
Accelleron Industries AG,2011640587,,2011640587,Yes,26.57
Accent Group Ltd.,1018515196,,1018515196,Yes,16.47
Accenture Plc,1008850436,,1008850436,Yes,9.84
Access Bank Plc,1028210861,,1028210861,Yes,36.61
Access Prairies Partnership,1317000088,,1317000088,Yes,45.73
Acciona Energía Financiación Filiales SA,2008974022,,2008974022,Yes,10.68
Acciona SA,1008754399,,1008754399,Yes,17.78
ACCO Brands Corp.,1012062850,,1012062850,Yes,7.46
"Accolade, Inc.",2001224537,,2001224537,Yes,20.58
Accor SA,1008527148,,1008527148,Yes,18.05
Accton Technology Corp.,1008844337,,1008844337,Yes,20.14
"Accuray, Inc.",1008617361,,1008617361,N/A,No data
Accès Recherche Montréal LP,1113531054,,1113531054,Yes,34.95
Ace Technologies Corp.,1034402423,,1034402423,Yes,25.00
Acea SpA,1008594709,,1008594709,Yes,20.05
ACEF Holding SCA,2008911113,,2008911113,Yes,16.35
"ACELYRIN, Inc.",2008419980,,2008419980,N/A,No data
ACEN Corp.,1017560735,,1017560735,Yes,36.36
ACEN Finance Ltd.,2009143190,,2009143190,Yes,36.36
"Acer, Inc.",1008755559,,1008755559,Yes,14.72
Acerinox SA,1008709603,,1008709603,Yes,29.53
Achilles Corp.,1008755365,,1008755365,Yes,30.47
Achmea Bank NV,1016037174,,1016037174,Yes,20.91
Achmea BV,1008870533,,1008870533,Yes,19.43
"ACI Worldwide, Inc.",1007913941,,1007913941,Yes,22.41
Ackermans & van Haaren NV,1012359558,,1012359558,Yes,7.86
"Aclaris Therapeutics, Inc.",1224758065,,1224758065,Yes,32.74
ACM AUTO TRUST 2023-2,2014552188,,2014552188,N/A,No data
"ACM Research (Shanghai), Inc.",2003609634,,2003609634,Yes,31.33
"ACM Research, Inc.",2005424316,,2005424316,Yes,32.05
ACNB Corp.,1008125197,,1008125197,Yes,30.60
"ACOM Co., Ltd.",1008758249,,1008758249,Yes,23.27
ACOMO NV,1008757256,,1008757256,Yes,13.29
Acquirente Unico SpA,2002406441,,2002406441,Yes,9.49
Acrinova AB,2004414375,,2004414375,Yes,23.06
"Acrivon Therapeutics, Inc.",2007864150,,2007864150,N/A,No data
Acron PJSC,1028295301,,1028295301,Yes,54.14
ACS Actividades de Construcción y Servicios SA,1008658924,,1008658924,Yes,30.78
Acter Group Corp. Ltd.,1069195968,,1069195968,Yes,28.42
Actic Group AB,1432291469,,1432291469,Yes,32.01
"Actinium Pharmaceuticals, Inc.",1015724033,,1015724033,N/A,No data
Action Construction Equipment Ltd.,1034692167,,1034692167,Yes,31.17
Action Logement Immobilier SASU,2005860499,,2005860499,Yes,22.55
Action Logement Services SASU,2005897259,,2005897259,Yes,22.55
Active Biotech AB,1008760212,,1008760212,Yes,28.12
"Activia Properties, Inc.",1212832984,,1212832984,Yes,12.68
"Activision Blizzard, Inc.",1012100477,,1012100477,Yes,18.49
Actron Technology Corp.,1029689975,,1029689975,N/A,No data
"Acuity Brands Lighting, Inc.",1014744875,,1014744875,Yes,18.31
"Acuity Brands, Inc.",1009291454,,1009291454,Yes,19.45
Acushnet Holdings Corp.,1223252086,,1223252086,Yes,10.68
"ACV Auctions, Inc.",2000299465,,2000299465,N/A,No data
ACWA Power Co.,2001149741,,2001149741,Yes,36.89
